class_name,class_description,studio_name
Afterwork Gentle Flow,"Grow and strengthen your practice with this gentle afterwork Hatha based flow. You'll blend traditional technique with creative sequencing to keep your practice fresh and versatile, as you gently move from one pose to the next, incorporating breath work and slow movement.
 
This class is great for all levels including seniors and people recovering from injury. We have props available to assist and chairs if needed.",Llamaste
Arise and Flow,"A meditative, flowing practice that engages all levels of your being. Classes balance strength and mobility, alignment and awareness. Enjoy an inspiring and grounding start to your day!",Arise Yoga
Mindful Movement Flow,Mindful Movement Flow class is designed to slow down the practice of Yoga while connecting the breath with the body and mind as you move through the poses leaving room for self-reflection and contemplation. Encouraged for beginner and good for all levels.,I am so yoga
Get Up & Flow,"Get Up & Flow is fresh and invigorating - the perfect way to start your day. This class will replace your morning cup of coffee, easing you into an active practice without the jitters, setting your body and mind up for success regardless of what the day may hold.",Daya
Morning Slow Flow,"Ease into your day with gentle breathful movement, meditation, and sound healing to show your body care, allow yourself to play, and refresh the nervous system. ",Arise Yoga
Animal Flow,"Animal Flow is a ground-based movement program designed to connect you with your body, allowing you to move more intelligently. Animal Flow can be used to improve coordination, balance, stability, mobility, flexibility, strength, and stamina, all while having fun at the same time!

Besides some floor space, zero equipment is needed and persons of all ages and fitness levels can learn and master animal flow.",Yoga Space
Inversion Flow,"Inverted yoga poses are physical shapes that move the hips above the head and the heart. From restorative postures like a supported bridge, forward fold, and downward facing dog to active inversions like handstand, crow pose, and forearm stand.  

Inverted yoga poses can help to strengthen your arms, build power in your legs, tone the muscles of your back, enhance core abdominal engagement, improve your sense of balance, and can even help stimulate healthy circulation. Getting upside down in yoga also allows the body to work with gravity to provide the brain with more oxygen and blood which has the potential to improve mental function and feel more energized!

We become accustomed to seeing the world from a certain vantage point and yoga inversions teach us to shake up our old point of view and find new ways to approach situations in life on and off of the mat.",Yoga Space
Morning Flow,Rise and Flow with this 45minute morning class. Greet the day with nice stretches and an active vinyasa flow to get you ready for the day.Teachers will offer modifications and variations for students of all practice levels. This class is great for beginners to experienced yogis wanting to get up and move first thing in the morning!,Loom Yoga Center
ASTORIA WE FLOW AT SUNRISE,Come chase the sun! Warm up your body and mind with a centering 1-hour practice overlooking the New York City skyline.,Urban Nomad Yoga
Slow Flow + Nidra,"Slow Flow combined with Yoga Nidra is a perfect way to slow your day and calm your energies. Yoga Nidra places a student in a state between awake and asleep to provide space for deep rest - physical, emotional and mental.",Baby Cobra Yoga
Flow in Central Park and McCarren Park,"Vinyasa flow around trees, birds and lawn. The moment of a reboot. This is an open-level class in McCarren Park and Central Park.",Yoga Space
Yoga Flow with Resistance Bands,"Deepen your relationship to yoga asanas and build strength and flexibility. In this yoga flow class, we integrate long, looped resistance bands into familiar poses and vinyasa flows to improve motor control, proprioception, and balance. The increased neural feedback from the bands is like brain food: you might feel mentally and spiritually stronger too!",NY loves Yoga
All Levels Empowered Flow,An Empowering Flow where you are lead to practice with the teacher practicing with you. You will be led through a powerful flow that will focus on integrity & alignment of your body while breathing and moving together.,Be Yoga
